rep,seed,drug,cell_line,n_cells,r2_confounds,r2_confounds_adj,rho_total_counts,rho_genes_detected,rho_mito_fraction,rho_cell_cycle_G1S,rho_cell_cycle_G2M
X_pca,42,doxorubicin,OVSAHO_OVARY,227,0.2097656668586586,0.19188706203645622,0.35598694213214227,0.3711393723179815,-0.051793404997035115,0.27416367675331693,0.3635018748702757
X_pca,42,doxorubicin,OVTOKO_OVARY,209,0.1674612377265533,0.14695535688237982,0.3112797145484889,0.311868249954825,-0.024794941900205057,0.1768118113782107,0.2178910199852762
X_pca,42,doxorubicin,PANC0203_PANCREAS,506,0.02086801966231,0.011076699858933114,0.1277762148478861,0.12289677596154781,0.0250891927371281,-0.06119408822573708,0.048866930290631216
X_pca,42,doxorubicin,PATU8988S_PANCREAS,244,0.21987831889643605,0.20348920794888214,0.4792594408426556,0.4510759537731202,0.05238219149226174,0.007540017232006046,0.13955699568338592
X_pca,42,doxorubicin,PC3_PROSTATE,169,0.0470321862753843,0.01780004475008945,0.045089807928292924,0.04359559892052362,-0.0034508477947391976,0.03735538772278222,-0.17379267822241493
X_pca,42,doxorubicin,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,0.1396920817857351,0.11774545121904467,0.07714852067516877,0.022111127085911262,0.08294745363073915,0.18545144433385896,-0.34412984790362217
X_pca,42,doxorubicin,PK45H_PANCREAS,271,0.08811335165275669,0.07090794319337479,-0.1633553052352877,-0.13886390001704527,0.026975857993874062,-0.04708037009032468,0.2399220146209969
X_pca,42,doxorubicin,PK59_PANCREAS,174,0.04162275062964782,0.013099618207911168,-0.06252455935533471,-0.05542314821955958,-0.05764059341097411,0.10259558539282394,-0.08171672900778024
X_pca,42,doxorubicin,RCC10RGB_KIDNEY,233,0.06721113554044711,0.04666512531006051,0.04656236043968789,0.013169647198237773,-0.056578552915684775,0.1820997265662296,0.11103574320433741
X_pca,42,doxorubicin,RCM1_LARGE_INTESTINE,128,0.3119477772870354,0.2837489157004385,0.3934890587804431,0.4352094259580679,-0.19602636879692364,-0.18612143529602396,0.18863697489879733
X_pca,42,doxorubicin,RD_SOFT_TISSUE,261,0.12407487018665331,0.10689986764129356,-0.23174587104568678,-0.21601964354974698,0.06786603762123636,-0.1381526717018647,-0.22350843889937747
X_pca,42,doxorubicin,RERFLCAD1_LUNG,243,0.07408497116543866,0.05455089882715669,-0.16464375887022878,-0.20440463939619932,0.038523168428781944,0.1426166719323545,-0.040922606913604394
X_pca,42,doxorubicin,RERFLCAI_LUNG,763,0.05200971779351515,0.04574822319505756,-0.09202209993110143,-0.1012419426915072,0.17209449099855845,0.08480900264568167,-0.12757987375528718
X_pca,42,doxorubicin,RT4_URINARY_TRACT,106,0.01823474306473183,-0.030853519782031658,0.07010119178094082,0.064906831516017,0.12125349522633952,-0.02941784013905333,-0.01476689615566606
X_pca,42,doxorubicin,RVH421_SKIN,239,0.1938868764330669,0.17658831154965626,-0.2246519109735944,-0.21880515128870048,-0.02724236137969832,0.30646746708527806,0.37698170882475557
X_pca,42,doxorubicin,SCC25_UPPER_AERODIGESTIVE_TRACT,898,0.03574420495140085,0.030339183678706916,-0.08780626032564229,-0.08192112674099135,0.042081246234360416,0.0973166569474404,0.14218227279510548
X_pca,42,doxorubicin,SCC9_UPPER_AERODIGESTIVE_TRACT,475,0.22665982456367673,0.21841525979356669,0.23995158633468966,0.3417538886992043,-0.0063278822521680225,0.32097287008777275,0.4006272016162064
X_pca,42,doxorubicin,SH10TC_STOMACH,351,0.0210352945919271,0.006847400310650675,0.08954269817877418,0.05583023116441483,-0.09646603396603397,-0.04160070529620846,-0.06416733295764757
X_pca,42,doxorubicin,SKES1_BONE,91,0.15819384758382216,0.10867583861816466,0.2257206561554388,0.29323374131954805,-0.068816690555821,0.17931270629504406,0.3275706925624845
X_pca,42,doxorubicin,SKMEL2_SKIN,276,0.04945458871130559,0.031851895909663086,0.062021981434054387,0.08157921623106831,0.06590373995804855,-0.05126975776116292,-0.14390362894090203
X_pca,42,doxorubicin,SKMEL30_SKIN,353,0.03614551439035418,0.02225712122595014,-0.0606315228920501,-0.08402306094956452,-0.13055741672741242,-0.0351729319452471,-0.06944676901700142
