rep,seed,drug_a,drug_b,cell_line,n_cells,rho
X_scGPT,43,imatinib,afatinib,IGR37_SKIN,347,0.08891957546072458
X_scGPT,43,imatinib,afatinib,IM95_STOMACH,185,0.3604071111784997
X_scGPT,43,imatinib,afatinib,JHH6_LIVER,206,0.3790429909364522
X_scGPT,43,imatinib,afatinib,JHOC5_OVARY,145,-0.24507164226106123
X_scGPT,43,imatinib,afatinib,KALS1_CENTRAL_NERVOUS_SYSTEM,288,-0.6151760615694037
X_scGPT,43,imatinib,afatinib,KMRC3_KIDNEY,245,0.3378403740544599
X_scGPT,43,imatinib,afatinib,KNS42_CENTRAL_NERVOUS_SYSTEM,172,-0.0638267263804086
X_scGPT,43,imatinib,afatinib,KPL1_BREAST,276,-0.03905766184843253
X_scGPT,43,imatinib,afatinib,KPNSI9S_AUTONOMIC_GANGLIA,129,-0.3917654293381038
X_scGPT,43,imatinib,afatinib,KYSE520_OESOPHAGUS,323,-0.4267367765819779
X_scGPT,43,imatinib,afatinib,LI7_LIVER,196,0.29234913020264724
X_scGPT,43,imatinib,afatinib,LMSU_STOMACH,255,-0.5854033985641501
X_scGPT,43,imatinib,afatinib,LNCAPCLONEFGC_PROSTATE,129,0.28408430232558146
X_scGPT,43,imatinib,afatinib,LS1034_LARGE_INTESTINE,146,0.42670895472029163
X_scGPT,43,imatinib,afatinib,LS180_LARGE_INTESTINE,361,0.2544288170265734
X_scGPT,43,imatinib,afatinib,MCF7_BREAST,143,0.007235135756262517
X_scGPT,43,imatinib,afatinib,MDAMB361_BREAST,135,-0.4068827515400932
X_scGPT,43,imatinib,afatinib,MFE319_ENDOMETRIUM,191,-0.41367112152108015
X_scGPT,43,imatinib,afatinib,MKN45_STOMACH,118,0.4348018216413032
X_scGPT,43,imatinib,afatinib,MKN7_STOMACH,258,0.027925633662671034
X_scGPT,43,imatinib,afatinib,MSTO211H_PLEURA,297,0.31472858399070996
X_scGPT,43,imatinib,afatinib,NCIH1299_LUNG,534,-0.24800487966430243
X_scGPT,43,imatinib,afatinib,NCIH1373_LUNG,164,0.7368166174690189
X_scGPT,43,imatinib,afatinib,NCIH1435_LUNG,267,0.6676037317846015
X_scGPT,43,imatinib,afatinib,NCIH1792_LUNG,111,-0.14676202176202177
X_scGPT,43,imatinib,afatinib,NCIH1944_LUNG,414,-0.35521322494793295
X_scGPT,43,imatinib,afatinib,NCIH2087_LUNG,219,0.04124898602716877
X_scGPT,43,imatinib,afatinib,NCIH2110_LUNG,1990,0.2907419931303468
X_scGPT,43,imatinib,afatinib,NCIH2126_LUNG,264,0.42295390956700946
X_scGPT,43,imatinib,afatinib,NCIH2170_LUNG,142,0.23634770982688275
X_scGPT,43,imatinib,afatinib,NCIH2228_LUNG,367,0.7823649594776472
X_scGPT,43,imatinib,afatinib,NCIH226_LUNG,235,0.189949790562845
X_scGPT,43,imatinib,afatinib,NCIH2444_LUNG,237,0.5384416371139746
X_scGPT,43,imatinib,afatinib,NCIH2452_PLEURA,538,0.29404872712384494
X_scGPT,43,imatinib,afatinib,NCIH292_LUNG,213,0.7226673388949462
X_scGPT,43,imatinib,afatinib,NCIH358_LUNG,336,0.38952693083965506
X_scGPT,43,imatinib,afatinib,NCIH446_LUNG,196,-0.06905465817721076
X_scGPT,43,imatinib,afatinib,NCIH460_LUNG,837,-0.19637579076132344
X_scGPT,43,imatinib,afatinib,NCIH522_LUNG,208,-0.70550025870392
X_scGPT,43,imatinib,afatinib,NCIH650_LUNG,271,-0.6197368738393266
X_scGPT,43,imatinib,afatinib,NCIH747_LARGE_INTESTINE,80,0.5232536333802158
X_scGPT,43,imatinib,afatinib,OAW28_OVARY,161,-0.3075655624568669
X_scGPT,43,imatinib,afatinib,ONCODG1_OVARY,270,-0.23857086898006521
X_scGPT,43,imatinib,afatinib,OSRC2_KIDNEY,126,0.4788571428571429
X_scGPT,43,imatinib,afatinib,OUMS23_LARGE_INTESTINE,107,-0.15832990458277005
X_scGPT,43,imatinib,afatinib,OVCAR4_OVARY,283,0.5573238695385606
X_scGPT,43,imatinib,afatinib,OVK18_OVARY,178,-0.17627820824764423
X_scGPT,43,imatinib,afatinib,OVSAHO_OVARY,227,-0.41059648849229236
X_scGPT,43,imatinib,afatinib,OVTOKO_OVARY,209,-0.13035254219464745
X_scGPT,43,imatinib,afatinib,PANC0203_PANCREAS,506,0.6275430784652946
X_scGPT,43,imatinib,afatinib,PATU8988S_PANCREAS,244,0.5848572337253055
X_scGPT,43,imatinib,afatinib,PC3_PROSTATE,169,0.22358410819949287
X_scGPT,43,imatinib,afatinib,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,0.4938403626407784
X_scGPT,43,imatinib,afatinib,PK45H_PANCREAS,271,0.17946964763765286
X_scGPT,43,imatinib,afatinib,PK59_PANCREAS,174,-0.12319143483584383
X_scGPT,43,imatinib,afatinib,RCC10RGB_KIDNEY,233,-0.6670508836040877
X_scGPT,43,imatinib,afatinib,RCM1_LARGE_INTESTINE,128,0.6095724226332173
X_scGPT,43,imatinib,afatinib,RD_SOFT_TISSUE,261,0.44702114591559183
X_scGPT,43,imatinib,afatinib,RERFLCAD1_LUNG,243,-0.6540600574381
X_scGPT,43,imatinib,afatinib,RERFLCAI_LUNG,763,-0.061942774527251186
X_scGPT,43,imatinib,afatinib,RT4_URINARY_TRACT,106,0.060352167670101015
X_scGPT,43,imatinib,afatinib,RVH421_SKIN,239,-0.2624239654020604
X_scGPT,43,imatinib,afatinib,SCC25_UPPER_AERODIGESTIVE_TRACT,898,-0.6267686590312473
X_scGPT,43,imatinib,afatinib,SCC9_UPPER_AERODIGESTIVE_TRACT,475,-0.8727278732945545
X_scGPT,43,imatinib,afatinib,SH10TC_STOMACH,351,-0.8126237651237651
X_scGPT,43,imatinib,afatinib,SKES1_BONE,91,-0.877384933906673
X_scGPT,43,imatinib,afatinib,SKMEL2_SKIN,276,0.26631583453432456
X_scGPT,43,imatinib,afatinib,SKMEL30_SKIN,353,0.13630307249767565
X_scGPT,43,imatinib,afatinib,SKMEL5_SKIN,297,-0.010721215419201997
X_scGPT,43,imatinib,afatinib,SKNAS_AUTONOMIC_GANGLIA,226,-0.6138515717385936
X_scGPT,43,imatinib,afatinib,SNU1079_BILIARY_TRACT,73,0.4439096630877453
X_scGPT,43,imatinib,afatinib,SNU1214_UPPER_AERODIGESTIVE_TRACT,188,0.40457678880707665
X_scGPT,43,imatinib,afatinib,SNU308_BILIARY_TRACT,94,0.6745150453346819
X_scGPT,43,imatinib,afatinib,SNU423_LIVER,212,0.26002244352280185
X_scGPT,43,imatinib,afatinib,SNU449_LIVER,282,0.5984113789105843
X_scGPT,43,imatinib,afatinib,SNU46_UPPER_AERODIGESTIVE_TRACT,236,0.23623548959907242
X_scGPT,43,imatinib,afatinib,SNU738_CENTRAL_NERVOUS_SYSTEM,379,0.3854568258817669
X_scGPT,43,imatinib,afatinib,SNU899_UPPER_AERODIGESTIVE_TRACT,83,-0.1718021913437723
X_scGPT,43,imatinib,afatinib,SNUC4_LARGE_INTESTINE,467,0.15688306390836315
X_scGPT,43,imatinib,afatinib,SQ1_LUNG,238,0.7611293020995276
X_scGPT,43,imatinib,afatinib,SU8686_PANCREAS,82,0.39423819941010657
X_scGPT,43,imatinib,afatinib,SW1088_CENTRAL_NERVOUS_SYSTEM,128,-0.06004509247390588
X_scGPT,43,imatinib,afatinib,SW1271_LUNG,115,0.14988558352402748
X_scGPT,43,imatinib,afatinib,SW1990_PANCREAS,307,-0.34573681412156215
X_scGPT,43,imatinib,afatinib,SW579_THYROID,217,0.048140475485843943
X_scGPT,43,imatinib,afatinib,T47D_BREAST,221,0.015081103316397433
X_scGPT,43,imatinib,afatinib,TCCSUP_URINARY_TRACT,316,0.3026128392498237
X_scGPT,43,imatinib,afatinib,TE10_OESOPHAGUS,219,0.7339506666514334
X_scGPT,43,imatinib,afatinib,TE14_OESOPHAGUS,474,0.49843737719603426
X_scGPT,43,imatinib,afatinib,TE1_OESOPHAGUS,206,0.3746817805873289
X_scGPT,43,imatinib,afatinib,TE6_OESOPHAGUS,551,-0.5926289965065314
X_scGPT,43,imatinib,afatinib,TE9_OESOPHAGUS,248,-0.4372886609779853
X_scGPT,43,imatinib,afatinib,TM31_CENTRAL_NERVOUS_SYSTEM,116,-0.6226425248914005
X_scGPT,43,imatinib,afatinib,TOV112D_OVARY,78,-0.707684720342948
X_scGPT,43,imatinib,afatinib,UACC257_SKIN,239,0.2626973383495657
X_scGPT,43,imatinib,afatinib,UMUC1_URINARY_TRACT,197,0.5539006557860802
X_scGPT,43,imatinib,afatinib,VMCUB1_URINARY_TRACT,478,0.5205192655352053
X_scGPT,43,imatinib,afatinib,VMRCRCZ_KIDNEY,300,0.06960522556975404
X_scGPT,43,imatinib,afatinib,YD38_UPPER_AERODIGESTIVE_TRACT,624,0.6121846970266045
X_scGPT,43,imatinib,afatinib,ZR751_BREAST,309,-0.428267598358422
X_scGPT,43,erlotinib,sorafenib,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,-0.5684592491873269
X_scGPT,43,erlotinib,sorafenib,8305C_THYROID,459,-0.5972787773422132
X_scGPT,43,erlotinib,sorafenib,A204_SOFT_TISSUE,250,-0.658550952815245
X_scGPT,43,erlotinib,sorafenib,A2058_SKIN,294,-0.5160567749978455
X_scGPT,43,erlotinib,sorafenib,A375_SKIN,593,-0.08492196013275273
X_scGPT,43,erlotinib,sorafenib,ACCMESO1_PLEURA,162,-0.07218432851935119
X_scGPT,43,erlotinib,sorafenib,ASPC1_PANCREAS,290,-0.6089257622390606
X_scGPT,43,erlotinib,sorafenib,BCPAP_THYROID,152,-0.4341370567048708
X_scGPT,43,erlotinib,sorafenib,BFTC909_KIDNEY,379,-0.5230276659105988
X_scGPT,43,erlotinib,sorafenib,BHY_UPPER_AERODIGESTIVE_TRACT,145,-0.054794520547945195
X_scGPT,43,erlotinib,sorafenib,BICR16_UPPER_AERODIGESTIVE_TRACT,212,-0.28943831998518876
X_scGPT,43,erlotinib,sorafenib,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.2576491154640765
X_scGPT,43,erlotinib,sorafenib,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.5353658536585365
X_scGPT,43,erlotinib,sorafenib,BICR6_UPPER_AERODIGESTIVE_TRACT,286,-0.025672405344643417
X_scGPT,43,erlotinib,sorafenib,BT474_BREAST,125,-0.5328294930875576
X_scGPT,43,erlotinib,sorafenib,BT549_BREAST,266,-0.487757766262168
X_scGPT,43,erlotinib,sorafenib,CAKI2_KIDNEY,278,-0.6722372422313692
X_scGPT,43,erlotinib,sorafenib,CALU6_LUNG,258,-0.014573009867553345
X_scGPT,43,erlotinib,sorafenib,CAMA1_BREAST,291,-0.44048668364589066
X_scGPT,43,erlotinib,sorafenib,CAS1_CENTRAL_NERVOUS_SYSTEM,133,-0.015869048469205577
X_scGPT,43,erlotinib,sorafenib,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,-0.5797663550460175
X_scGPT,43,erlotinib,sorafenib,COLO741_SKIN,329,-0.012635717709018649
X_scGPT,43,erlotinib,sorafenib,COLO792_SKIN,271,0.13886055037020958
X_scGPT,43,erlotinib,sorafenib,COV434_OVARY,88,-0.4933957944419007
X_scGPT,43,erlotinib,sorafenib,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.5852162202603621
X_scGPT,43,erlotinib,sorafenib,DKMG_CENTRAL_NERVOUS_SYSTEM,271,-0.7042320864385114
X_scGPT,43,erlotinib,sorafenib,EBC1_LUNG,186,0.0887010522684147
X_scGPT,43,erlotinib,sorafenib,EFE184_ENDOMETRIUM,86,-0.8110476909288173
X_scGPT,43,erlotinib,sorafenib,EFM192A_BREAST,333,0.35735042451729565
X_scGPT,43,erlotinib,sorafenib,EKVX_LUNG,146,0.04346350727348096
X_scGPT,43,erlotinib,sorafenib,FTC133_THYROID,140,0.2250158535785354
X_scGPT,43,erlotinib,sorafenib,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.14343310829429595
X_scGPT,43,erlotinib,sorafenib,HCC1428_BREAST,127,-0.060572506561679784
X_scGPT,43,erlotinib,sorafenib,HCC366_LUNG,202,-0.3696109997736043
X_scGPT,43,erlotinib,sorafenib,HCC38_BREAST,200,-0.32301507537688445
X_scGPT,43,erlotinib,sorafenib,HCC56_LARGE_INTESTINE,99,0.06980828695114409
X_scGPT,43,erlotinib,sorafenib,HDQP1_BREAST,64,-0.23136446886446885
X_scGPT,43,erlotinib,sorafenib,HEC151_ENDOMETRIUM,250,-0.5371182258916142
X_scGPT,43,erlotinib,sorafenib,HEC251_ENDOMETRIUM,107,-0.014743627422167362
X_scGPT,43,erlotinib,sorafenib,HEC6_ENDOMETRIUM,161,-0.24878939498504715
X_scGPT,43,erlotinib,sorafenib,HEP3B217_LIVER,118,-0.013012245315336042
X_scGPT,43,erlotinib,sorafenib,HMC18_BREAST,293,0.02114810111243525
X_scGPT,43,erlotinib,sorafenib,HOS_BONE,829,-0.6059149062816536
X_scGPT,43,erlotinib,sorafenib,HS852T_SKIN,162,-0.02226907775053947
X_scGPT,43,erlotinib,sorafenib,HT1080_SOFT_TISSUE,516,-0.3178065440849893
X_scGPT,43,erlotinib,sorafenib,HT1197_URINARY_TRACT,74,-0.8554905590522027
X_scGPT,43,erlotinib,sorafenib,HT55_LARGE_INTESTINE,211,0.08153702686475647
X_scGPT,43,erlotinib,sorafenib,HUH28_BILIARY_TRACT,139,0.10954913088163008
X_scGPT,43,erlotinib,sorafenib,HUH6_LIVER,338,-0.18558121748891226
