rep,alpha,loss,seed,drug,cell_line,n_cells,within_line_sd,line_mean_pred
X_pca,0.0,mse,42,platin,NCIH2170_LUNG,142,0.0126996822334483,0.9925308328279308
X_pca,0.0,mse,42,platin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.012032844807540362,0.9686629808753546
X_pca,0.0,mse,42,platin,SW1088_CENTRAL_NERVOUS_SYSTEM,128,0.015078026281430762,1.0089480839669704
X_pca,0.0,mse,42,platin,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.00691138693268835,0.9881877118143542
X_pca,0.0,mse,42,platin,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.010358441486790921,0.9946519114021072
X_pca,0.0,mse,42,platin,HCC1428_BREAST,127,0.00945569892369763,0.991618976818295
X_pca,0.0,mse,42,platin,HDQP1_BREAST,64,0.007530230518452158,0.9940166501328349
X_pca,0.0,mse,42,platin,OSRC2_KIDNEY,126,0.005789123820801924,0.9980275366041396
X_pca,0.0,mse,42,platin,HUPT4_PANCREAS,56,0.010063479524045505,0.9828584768942424
X_pca,0.0,mse,42,platin,TCCSUP_URINARY_TRACT,316,0.006309271852346417,0.9949369502218464
X_pca,0.0,mse,42,platin,VMRCRCZ_KIDNEY,300,0.013140036957803957,0.989396852850914
X_pca,0.0,mse,42,platin,PK59_PANCREAS,174,0.00933729299018852,0.9879102254736012
X_pca,0.0,mse,42,platin,HUH6_LIVER,338,0.014937700486622994,1.0104709202368585
X_pca,0.0,mse,42,platin,MSTO211H_PLEURA,297,0.00946876902386995,0.9862267517481589
X_pca,0.0,mse,42,platin,HS852T_SKIN,162,0.004960091918668898,0.9988068257584984
X_pca,0.0,mse,42,platin,SKMEL30_SKIN,353,0.011271159309885625,0.9898391148186271
X_pca,0.0,mse,42,platin,T47D_BREAST,221,0.010552430876628034,0.9990215792375452
X_pca,0.0,mse,42,platin,CALU6_LUNG,258,0.005761920682690293,0.9981853948083035
X_pca,0.0,mse,42,platin,NCIH522_LUNG,208,0.015833179234286385,0.9796339015548046
X_pca,0.0,mse,42,platin,LMSU_STOMACH,255,0.01376997132055932,0.9773864909714344
X_pca,0.0,mse,42,platin,SNUC4_LARGE_INTESTINE,467,0.006432874058319541,0.978487694416618
X_pca,0.0,mse,42,platin,RVH421_SKIN,239,0.011416268489439246,1.0026302527184268
X_pca,0.0,mse,42,platin,OVSAHO_OVARY,227,0.014362295117720114,0.9918339008276683
X_pca,0.0,mse,42,platin,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.01535655991519022,0.9870289873078232
X_pca,0.0,mse,42,platin,SNU738_CENTRAL_NERVOUS_SYSTEM,379,0.010987086861237845,0.979175407056129
X_pca,0.0,mse,42,platin,PC3_PROSTATE,169,0.011904677500161772,0.980412921961948
X_pca,0.0,mse,42,platin,PATU8988S_PANCREAS,244,0.013277127967469772,0.9703257328174153
X_pca,0.0,mse,42,platin,OVTOKO_OVARY,209,0.013734721337421658,0.9837539119013189
X_pca,0.0,mse,42,platin,TE1_OESOPHAGUS,206,0.018418917235317172,0.9844808963317315
X_pca,0.0,mse,42,platin,NCIH2087_LUNG,219,0.012366249300378537,0.9690004712370432
X_pca,0.0,mse,42,platin,EFM192A_BREAST,333,0.0079908056666106,0.9870970859541908
X_pca,0.0,mse,42,platin,SNU423_LIVER,212,0.010471834564375072,0.9879585943132076
X_pca,0.0,mse,42,platin,KPL1_BREAST,276,0.005165535299737064,0.9963794983383538
X_pca,0.0,mse,42,platin,NCIH358_LUNG,336,0.013433685329025944,0.9633192011997813
X_pca,0.0,mse,42,platin,COLO792_SKIN,271,0.01286487991341099,1.005426743593603
X_pca,0.0,mse,42,platin,KYSE520_OESOPHAGUS,323,0.010708370897311591,0.9723110027357521
X_pca,0.0,mse,42,platin,KMRC3_KIDNEY,245,0.01113250833319883,0.9985856151094242
